,Country,Year,GDP,Life expectancy at birth
67,Afghanistan,2017,71812409356.584,63.0
136,Albania,2017,30815266945.320004,79.0
205,Algeria,2017,586904591722.04,75.7
274,Angola,2017,246092688424.107,61.7
343,Argentina,2017,845888540682.096,76.8
383,Armenia,2017,30970175040.162003,74.9
452,Australia,2017,1211457976915.968,83.0
521,Austria,2017,371055286042.89,81.6
561,Azerbaijan,2017,166405554989.683,72.2
630,Bahrain,2017,59287308223.45999,79.7
699,Bangladesh,2017,620811601126.691,71.8
768,Barbados,2017,3367446221.303,76.9
808,Belarus,2017,175842459293.49,74.5
877,Belgium,2017,448004356888.524,81.4
946,Benin,2017,24835363784.378,59.9
1015,Bolivia,2017,74575350308.736,67.7
1082,Bosnia and Herzegovina,2017,34638420130.875,76.9
1151,Botswana,2017,36982286450.64,66.8
1220,Brazil,2017,2908977799936.0,74.8
1289,Bulgaria,2017,127586481513.98999,74.8
1358,Burkina Faso,2017,30352926200.542,59.5
1427,Burundi,2017,7488937439.1048,61.6
1496,Cambodia,2017,54226376907.9912,70.5
1565,Cameroon,2017,69527220720.7314,60.8
1634,Canada,2017,1630018148084.16,82.0
1703,Cape Verde,2017,3715703140.337,76.6
1772,Central African Republic,2017,3031506275.4547,53.7
1841,Chad,2017,31172677674.1566,52.3
1910,Chile,2017,397687019152.726,80.4
1979,China,2017,17958358685232.0,77.2
2048,Colombia,2017,645883128397.376,76.6
2117,Comoros,2017,1304621811.4768,63.6
2186,Congo,2017,30530193142.613804,63.8
2255,Costa Rica,2017,72264875250.673,79.4
2324,Cote d'Ivoire,2017,88430094520.9144,58.5
2391,Croatia,2017,89015994056.948,78.1
2460,Cuba,2017,92298103989.3985,77.5
2529,Cyprus,2017,31959843362.249,81.3
2578,Czechia,2017,315915838791.77,79.0
2647,Democratic Republic of Congo,2017,70695247635.505,59.4
2716,Denmark,2017,260791519323.73,81.1
2785,Djibouti,2017,3295952476.3676,62.8
2854,Dominica,2017,622672873.284,67.5
